time,system_size,queue_length
301.94772285985476,0,0
302.5594327438529,1,0
302.92214253148876,0,0
306.86010450138514,1,0
307.22691484948507,2,0
308.4262150627813,1,0
310.00826688361525,0,0
310.80033828235645,1,0
311.65656759479685,2,0
312.2363162925946,3,1
312.49646661609177,4,2
313.7037880756235,5,3
313.7586332352177,6,4
315.43581535003824,7,5
316.18486179585494,8,6
316.2774307060162,9,7
316.2805845415045,10,8
316.7392768593191,11,9
316.8402641642468,10,9
316.8402641642468,10,8
317.1765349698937,11,9
317.25437860014944,12,10
317.39899067556587,11,10
317.39899067556587,11,9
317.70826570191144,12,10
317.8331376718733,13,11
317.9974497755153,12,11
317.9974497755153,12,10
318.2314636025057,13,11
318.25705936927676,14,12
318.27039613447994,13,12
318.27039613447994,13,11
318.4322968985093,14,12
320.00474106609397,13,12
320.00474106609397,13,11
320.33609799892844,12,11
320.33609799892844,12,10
321.3853059338947,11,10
321.3853059338947,11,9
321.90019300920613,12,10
322.24168119619264,11,10
322.24168119619264,11,9
322.4337244389384,12,10
322.8846059490521,13,11
322.89933300597835,12,11
322.89933300597835,12,10
323.680248925128,13,11
324.98351315693395,12,11
324.98351315693395,12,10
325.0861218368406,13,11
325.10310941682553,14,12
326.48885705183767,13,12
326.48885705183767,13,11
326.8270305166067,14,12
327.3848170343949,13,12
327.3848170343949,13,11
328.4406769304448,12,11
328.4406769304448,12,10
328.82189208448057,11,10
328.82189208448057,11,9
329.8932791200896,10,9
329.8932791200896,10,8
330.9915061754309,11,9
331.70493466853753,10,9
331.70493466853753,10,8
331.86909799650516,11,9
332.6998694754984,10,9
332.6998694754984,10,8
333.50718020188697,11,9
333.75425400212555,12,10
334.25344612131227,13,11
334.64478733996356,12,11
334.64478733996356,12,10
334.7002355468336,13,11
334.7155418102075,12,11
334.7155418102075,12,10
334.8811811635913,11,10
334.8811811635913,11,9
334.9737796245586,10,9
334.9737796245586,10,8
336.62533162642455,9,8
336.62533162642455,9,7
336.70195616854005,8,7
336.70195616854005,8,6
338.1360282775415,7,6
338.1360282775415,7,5
338.1560371638446,6,5
338.1560371638446,6,4
338.8502960786025,5,4
338.8502960786025,5,3
339.4002256403284,6,4
339.96339187339163,7,5
340.3806101425644,6,5
340.3806101425644,6,4
340.4266570093566,5,4
340.4266570093566,5,3
340.71635934026034,6,4
341.0524203036229,5,4
341.0524203036229,5,3
341.91597680707514,4,3
341.91597680707514,4,2
342.18011905675183,5,3
343.2570837095864,6,4
344.1296168067361,7,5
344.7204463142216,8,6
345.11480036530645,9,7
345.248384798877,8,7
345.248384798877,8,6
345.38529285645717,9,7
346.40276151915344,8,7
346.40276151915344,8,6
347.3101775002851,9,7
347.4692287361462,10,8
348.402909485164,11,9
349.5105425600638,12,10
349.89770927629644,13,11
349.96564202853114,14,12
350.5686024656213,13,12
350.5686024656213,13,11
350.9439914839913,12,11
350.9439914839913,12,10
351.5789962081153,11,10
351.5789962081153,11,9
352.0903612254122,12,10
352.39313897595116,13,11
352.5989966177075,14,12
353.0911081324745,15,13
353.1895549198016,14,13
353.1895549198016,14,12
353.6565832730928,15,13
353.68443993613096,14,13
353.68443993613096,14,12
354.5814050875272,13,12
354.5814050875272,13,11
354.59557580518657,14,12
354.8602250842355,15,13
354.8932146718498,16,14
355.1798706635742,17,15
355.4056643774864,16,15
355.4056643774864,16,14
355.84156170414394,17,15
356.0245022712265,18,16
356.0324040982072,19,17
356.1796860221902,18,17
356.1796860221902,18,16
356.4184134181754,19,17
356.4542698056731,20,18
357.19141906536134,19,18
357.19141906536134,19,17
357.5436034539796,20,18
