N,S,repairers,seed,crash_time,crashed,repairer_utilization,average_repair_queue,average_good_machines,analytic_crash_time
10,3,3,2046,50000.0,false,0.0327598565441845,0.0,12.901720430367405,68639.99999994032
10,3,3,2047,20708.234610723546,true,0.032562639036671615,0.0,12.902312082889985,68639.99999994032
10,3,3,2048,50000.0,false,0.0336623706115212,0.0,12.899012888165391,68639.99999994032
10,3,3,2049,50000.0,false,0.032916768908478604,0.0,12.901249693274526,68639.99999994032
10,3,3,2050,26235.44678076433,true,0.03342579858178202,0.0,12.899722604254656,68639.99999994032
10,3,3,2051,6373.9007831563795,true,0.03402262919769746,0.0,12.897932112406894,68639.99999994032
10,3,3,2052,34593.98700216963,true,0.032887566102764366,0.0,12.901337301691703,68639.99999994032
10,3,3,2053,50000.0,false,0.03385572466888243,0.0,12.898432825993316,68639.99999994032
10,3,3,2054,14505.18628357676,true,0.034698678315742325,0.0,12.895903965052756,68639.99999994032
10,3,3,2055,24605.366528787516,true,0.03421579013329246,0.0,12.8973526296001,68639.99999994032
10,3,3,2056,50000.0,false,0.0330522051581624,0.0,12.900843384525556,68639.99999994032
10,3,3,2057,4105.837721205483,true,0.03282397243703275,0.0,12.901528082688898,68639.99999994032
10,3,3,2058,50000.0,false,0.032120569550996646,0.0,12.903638291347068,68639.99999994032
10,3,3,2059,26227.94416973466,true,0.0324277010723758,0.0,12.902716896782872,68639.99999994032
10,3,3,2060,47294.993139888444,true,0.03398026618610313,0.0,12.898059201441642,68639.99999994032
10,3,3,2061,50000.0,false,0.031085667472512797,0.0,12.906742997582425,68639.99999994032
10,3,3,2062,4138.9955790326685,true,0.03341667091208189,0.0,12.89974998726376,68639.99999994032
10,3,3,2063,50000.0,false,0.03290461814100934,0.0,12.901286145576911,68639.99999994032
10,3,3,2064,26208.361688395802,true,0.03396541564990761,0.0,12.898103753050274,68639.99999994032
10,3,3,2065,31195.27854721892,true,0.033212247306249235,0.0,12.900363258081287,68639.99999994032
10,3,3,2066,50000.0,false,0.03270275506757409,0.0,12.901891734797267,68639.99999994032
10,3,3,2067,50000.0,false,0.033737888354922564,0.0,12.89878633493525,68639.99999994032
10,3,3,2068,37843.75013220087,true,0.032984876224687966,0.0,12.901045371325944,68639.99999994032
10,3,3,2069,3990.2212630107742,true,0.03371545391461818,0.0,12.898853638256137,68639.99999994032
12,3,1,2210,11979.550731995252,true,0.12288424609586915,0.014518406832205665,14.862597347071926,6221.604938271097
12,3,1,2211,4031.2845498483975,true,0.10325325352086981,0.012107158677087478,14.884639587802043,6221.604938271097
12,3,1,2212,44.65300701678846,true,0.3341979061480022,0.2391543913199132,14.426647702532085,6221.604938271097
12,3,1,2213,2933.4661541198416,true,0.10788488733329576,0.00929208765850538,14.882823025008186,6221.604938271097
12,3,1,2214,20470.858945827,true,0.11857977747061751,0.015199707052053951,14.866220515477304,6221.604938271097
12,3,1,2215,1098.3572494042273,true,0.15353179609299925,0.03922884750534673,14.80723935640166,6221.604938271097
12,3,1,2216,8870.489759603126,true,0.12274196360545216,0.017030936187195797,14.86022710020733,6221.604938271097
12,3,1,2217,3643.615353105984,true,0.11591233847920478,0.014517929341807255,14.869569732178972,6221.604938271097
12,3,1,2218,6512.33107578131,true,0.11880928966826075,0.015886587470364626,14.86530412286135,6221.604938271097
12,3,1,2219,3393.474097063583,true,0.13008831214257746,0.01713982085283309,14.852771867004586,6221.604938271097
12,3,1,2220,2565.2833519917017,true,0.10866545153573846,0.01063919544052793,14.88069535302373,6221.604938271097
12,3,1,2221,2216.1645325107597,true,0.1154099781763424,0.011221223541455749,14.873368798282202,6221.604938271097
12,3,1,2222,3851.936637453126,true,0.11810060049334921,0.012367307917966256,14.869532091588702,6221.604938271097
12,3,1,2223,1664.6263665191343,true,0.1346587334440637,0.01931679905124413,14.846024467504686,6221.604938271097
12,3,1,2224,8695.368027797693,true,0.11548302815483022,0.013957451948557588,14.870559519896647,6221.604938271097
12,3,1,2225,4813.494451038011,true,0.11920774848228351,0.013115600982990118,14.867676650534728,6221.604938271097
12,3,1,2226,25329.39634052785,true,0.11631807475241214,0.013745326947046351,14.869936598300495,6221.604938271097
12,3,1,2227,205.77117962029732,true,0.18017114285801425,0.06595425072949275,14.753874606412491,6221.604938271097
12,3,1,2228,1512.1255270851752,true,0.13598534075627658,0.02574179064739831,14.838272868596336,6221.604938271097
12,3,1,2229,920.6423299855618,true,0.12647873223489328,0.01882599622773424,14.854695271537361,6221.604938271097
12,3,1,2230,748.3059134191644,true,0.13461991556504566,0.017604168304105976,14.847775916130843,6221.604938271097
12,3,1,2231,17007.46727706629,true,0.11717849013060568,0.012015662278245956,14.870805847591136,6221.604938271097
12,3,1,2232,1949.0595356528786,true,0.10519564410557886,0.014811865640636706,14.87999249025377,6221.604938271097
12,3,1,2233,9721.57751442571,true,0.11851773800678532,0.01110500739087235,14.870377254602348,6221.604938271097
12,3,1,2234,7897.772413730526,true,0.13156583681290437,0.0170807103482345,14.85135345283886,6221.604938271097
12,3,1,2235,8376.927558800751,true,0.11899395003033478,0.017569627036531827,14.86343642293314,6221.604938271097
12,3,1,2236,217.12505836762634,true,0.14439634554039496,0.021895596009929238,14.833708058449675,6221.604938271097
