customer,server,arrival_time,service_start,departure_time,service_time,queue_wait,system_time
7441,2,8213.338496298747,8237.772978442206,8241.993630114008,4.220651671802216,24.43448214345881,28.655133815260342
7442,1,8213.501719094149,8237.860385736974,8243.00073874293,5.140353005955698,24.358666642825483,29.49901964878154
7443,2,8214.818552749874,8241.993630114008,8253.043692602178,11.050062488170589,27.175077364134268,38.22513985230398
7444,1,8215.169993861282,8243.00073874293,8243.369567060692,0.368828317762334,27.83074488164857,28.199573199410224
7445,1,8215.601169394406,8243.369567060692,8244.337197941837,0.9676308811449083,27.768397666286546,28.736028547431488
7446,1,8217.361421988957,8244.337197941837,8246.034073373965,1.6968754321284494,26.975775952880213,28.672651385008066
7447,1,8222.60406892048,8246.034073373965,8246.79056467558,0.7564913016158642,23.4300044534848,24.186495755100623
7448,1,8222.847416723393,8246.79056467558,8252.356565200676,5.566000525095036,23.943147952188156,29.509148477283816
7449,1,8222.877679073137,8252.356565200676,8252.563884129439,0.20731892876258018,29.478886127539226,29.686205056301333
7450,1,8223.143772043612,8252.563884129439,8252.65359228596,0.08970815652226617,29.420112085826986,29.509820242348724
7451,1,8224.29524670734,8252.65359228596,8253.419760952938,0.7661686669777462,28.358345578621083,29.12451424559913
7452,2,8226.880542984438,8253.043692602178,8255.658447998383,2.6147553962046257,26.16314961773969,28.7779050139452
7453,1,8227.272882906049,8253.419760952938,8254.084298945618,0.6645379926791173,26.14687804688947,26.81141603956894
7454,1,8228.44275042946,8254.084298945618,8260.349271173915,6.2649722282972435,25.641548516157854,31.90652074445461
7455,2,8228.995843892635,8255.658447998383,8256.24825833809,0.5898103397075048,26.66260410574796,27.252414445454633
7456,2,8229.026739004788,8256.24825833809,8256.410492403258,0.16223406516752645,27.22151933330133,27.383753398469707
7457,2,8229.644371605953,8256.410492403258,8257.612945129691,1.202452726433197,26.76612079730512,27.968573523738087
7458,2,8230.588059941303,8257.612945129691,8260.980064930973,3.3671198012823997,27.024885188387998,30.39200498966966
7459,1,8230.72287013918,8260.349271173915,8260.874905906241,0.5256347323261303,29.626401034734954,30.152035767061534
7460,1,8233.832539971545,8260.874905906241,8263.524315766734,2.6494098604928236,27.042365934696136,29.691775795188732
7461,2,8234.189066713561,8260.980064930973,8261.92772417644,0.9476592454662223,26.79099821741147,27.73865746287811
7462,2,8234.18973689203,8261.92772417644,8263.449659474334,1.5219352978952139,27.73798728440852,29.25992258230326
7463,2,8237.13615600699,8263.449659474334,8269.042859042953,5.593199568619334,26.313503467343253,31.906703035961982
7464,1,8239.128909391391,8263.524315766734,8264.009121143039,0.48480537630499493,24.395406375342645,24.88021175164795
7465,1,8239.3053372348,8264.009121143039,8265.602608077954,1.5934869349150547,24.70378390823862,26.297270843153456
7466,1,8239.495738493602,8265.602608077954,8271.019335368044,5.41672729009062,26.106869584351443,31.523596874441864
7467,2,8240.596541406794,8269.042859042953,8271.421038527924,2.378179484970703,28.44631763615871,30.824497121129752
7468,1,8243.22461917196,8271.019335368044,8272.559580564295,1.5402451962500503,27.794716196083755,29.334961392334662
7469,2,8243.895428296495,8271.421038527924,8273.78761588324,2.366577355315774,27.5256102314288,29.892187586745422
7470,1,8245.66153023466,8272.559580564295,8275.96766768276,3.408087118465446,26.898050329635225,30.306137448100344
7471,2,8246.837974350361,8273.78761588324,8274.844921620148,1.0573057369069032,26.94964153287947,28.006947269786906
7472,2,8247.079066365875,8274.844921620148,8275.28760267837,0.44268105822334236,27.765855254272537,28.208536312495198
7473,2,8248.28585858881,8275.28760267837,8277.074341828253,1.786739149882925,27.001744089560816,28.78848323944294
7474,1,8251.808766247996,8275.96766768276,8277.47763446564,1.5099667828807346,24.15890143476463,25.668868217644558
7475,2,8252.23227850535,8277.074341828253,8279.381350697447,2.3070088691952715,24.842063322903414,27.149072192098174
7476,1,8252.507423784366,8277.47763446564,8279.4055960108,1.9279615451591314,24.970210681274693,26.898172226434326
7477,2,8253.158835114988,8279.381350697447,8280.59234277994,1.2109920824931824,26.22251558245989,27.43350766495314
7478,1,8253.606236824002,8279.4055960108,8280.542988562223,1.137392551424054,25.79935918679803,26.936751738221574
7479,1,8254.320324726876,8280.542988562223,8282.574798516325,2.0318099541018233,26.222663835347703,28.25447378944955
7480,2,8255.286869464093,8280.59234277994,8284.305328775748,3.712985995806968,25.30547331584785,29.018459311655533
7481,1,8257.317198021186,8282.574798516325,8286.035842864041,3.461044347715565,25.25760049513883,28.7186448428547
7482,2,8260.289429647968,8284.305328775748,8288.861472637242,4.556143861492634,24.015899127780358,28.57204298927354
7483,1,8260.4850281014,8286.035842864041,8286.269328163899,0.23348529985737246,25.550814762640584,25.784300062498005
7484,1,8261.391121405399,8286.269328163899,8289.678127023291,3.408798859392147,24.8782067584998,28.287005617892646
7485,2,8261.936055551894,8288.861472637242,8289.017284252488,0.1558116152462484,26.925417085347362,27.081228700593783
7486,2,8263.292038905047,8289.017284252488,8289.337712841778,0.3204285892898659,25.72524534744116,26.045673936730964
7487,2,8264.032107475223,8289.337712841778,8293.437303318238,4.0995904764603255,25.305605366555028,29.405195843015463
7488,1,8266.13351239201,8289.678127023291,8293.008091376585,3.3299643532938723,23.544614631280638,26.874578984574327
