t,S,I,R
24.387376363135772,304,65,631
24.409189944692223,304,64,632
24.420877232746193,304,63,633
24.449972366499996,303,64,633
24.45390564636212,302,65,633
24.464875766561992,302,64,634
24.62198398362809,302,63,635
24.6320924254864,301,64,635
24.646081650019283,300,65,635
24.659066798951066,300,64,636
24.705713755490404,300,63,637
24.958794275505834,300,62,638
24.973015277374813,299,63,638
25.0222428664325,299,62,639
25.04380162906016,299,61,640
25.054978353620513,298,62,640
25.12401583147847,298,61,641
25.13740962492066,297,62,641
25.176073077083416,297,61,642
25.220280281070153,297,60,643
25.223358668613123,297,59,644
25.345602573155393,297,58,645
25.475706227911488,297,57,646
25.609609123752293,297,56,647
25.62125063726027,297,55,648
25.66358540811797,296,56,648
25.687495176244408,296,55,649
25.71166942094773,296,54,650
25.788456652657857,295,55,650
25.838032013827675,294,56,650
26.074238180369555,294,55,651
26.10360315892179,294,54,652
26.107173829708145,294,53,653
26.126376798518677,293,54,653
26.21824570881506,293,53,654
26.22722100736224,293,52,655
26.275763586933866,292,53,655
26.27656429641048,292,52,656
26.40523538493928,292,51,657
26.47626211373807,291,52,657
26.505695034380025,291,51,658
26.516275307608264,291,50,659
26.57208628916804,291,49,660
26.642687353227267,290,50,660
26.64608341872424,290,49,661
26.766148215302817,290,48,662
26.854665082442494,289,49,662
26.865873611508157,289,48,663
26.87079106703753,289,47,664
26.903172021753914,288,48,664
26.973334028265093,288,47,665
26.994435248540743,287,48,665
27.068244531766776,286,49,665
27.16654419507083,286,48,666
27.23364157170245,286,47,667
27.245464142364593,285,48,667
27.288365627477397,284,49,667
27.31565852466192,284,48,668
27.447645400111476,283,49,668
27.620834739986257,282,50,668
27.641386169817515,282,49,669
27.741252263999158,282,48,670
27.787685486021324,281,49,670
27.801765381714738,281,48,671
27.85379350041265,281,47,672
27.85565929987695,281,46,673
27.893481103424335,281,45,674
27.916489851479906,281,44,675
27.928082315932613,281,43,676
28.069502931010067,281,42,677
28.08101522392585,281,41,678
28.18103569760727,281,40,679
28.181493695989136,281,39,680
28.276196532076412,281,38,681
28.48698362761711,280,39,681
28.504934928876978,280,38,682
28.506446553320334,279,39,682
28.612361413197895,279,38,683
28.64796625255464,279,37,684
28.735845701922308,279,36,685
28.795497985022948,279,35,686
28.903676462856133,278,36,686
28.92872681534686,278,35,687
29.142182832122565,278,34,688
29.294549501995007,278,33,689
29.353792703695948,277,34,689
29.623645587483946,277,33,690
