t,S,E,I,R
20.704696590434125,688,66,91,155
20.70487516418536,688,65,92,155
20.77298280963526,688,64,93,155
20.773341340300618,688,63,94,155
20.791400543423393,687,64,94,155
20.80071723304405,686,65,94,155
20.804328887501374,686,65,93,156
20.81236106373057,686,64,94,156
20.879854692258,686,63,95,156
20.88099092940252,686,62,96,156
20.886183579707787,686,61,97,156
20.891912799312884,686,61,96,157
20.892021622128254,685,62,96,157
20.8920694518393,685,62,95,158
20.914990422125708,685,61,96,158
20.916317310178137,684,62,96,158
20.933143474650116,684,61,97,158
20.938141726149674,684,60,98,158
20.94137437088419,684,59,99,158
20.964054643615043,684,58,100,158
21.020614021334268,684,58,99,159
21.032165531305555,683,59,99,159
21.045105765767524,683,58,100,159
21.06455650464867,683,57,101,159
21.075692586155395,683,56,102,159
21.0789397170959,683,55,103,159
21.0819280338257,682,56,103,159
21.08973988169864,682,55,104,159
21.094875250989762,682,55,103,160
21.12881369872849,682,55,102,161
21.137494235678922,682,54,103,161
21.14124518445456,681,55,103,161
21.161369668629742,681,55,102,162
21.177671664576017,681,55,101,163
21.196039160158943,681,55,100,164
21.20228827674241,681,54,101,164
21.206687146709015,681,54,100,165
21.20726167770163,680,55,100,165
21.216786119354605,679,56,100,165
21.220796440506234,678,57,100,165
21.26797278861046,678,57,99,166
21.27516325202361,677,58,99,166
21.29640918542067,677,57,100,166
21.314598792517998,676,58,100,166
21.31914220414847,675,59,100,166
21.331459446876213,675,59,99,167
21.381439552947494,675,58,100,167
21.38740286323171,675,57,101,167
21.41732823659772,675,56,102,167
21.426016984881564,675,55,103,167
21.45230806957062,674,56,103,167
21.454823464211806,674,56,102,168
21.461807170644114,674,56,101,169
21.473277138179558,673,57,101,169
21.49634102582559,673,57,100,170
21.503592610971648,672,58,100,170
21.520414855933506,671,59,100,170
21.52258486028865,670,60,100,170
21.524285257254657,669,61,100,170
21.597473675035832,669,60,101,170
21.62947507598292,668,61,101,170
21.635847854557092,668,60,102,170
21.655836602473496,667,61,102,170
21.66579947043252,666,62,102,170
21.669767492982498,665,63,102,170
21.68609311652827,664,64,102,170
21.688142621851235,664,63,103,170
21.706285594785193,664,63,102,171
21.710077401810793,663,64,102,171
21.714907342058858,663,64,101,172
21.719967522160882,663,63,102,172
21.72544440077927,663,62,103,172
21.728644328367942,662,63,103,172
21.73480412311105,661,64,103,172
21.74342081816162,660,65,103,172
21.749928956971132,659,66,103,172
21.767365340379857,659,65,104,172
21.771295119387467,658,66,104,172
21.775225159354065,658,65,105,172
21.784287775857752,658,65,104,173
21.800907835669168,657,66,104,173
21.80397413772391,656,67,104,173
21.810184509342463,656,66,105,173
21.822733471183223,656,66,104,174
21.823255465693457,655,67,104,174
21.827939316917792,655,67,103,175
21.842735440194627,654,68,103,175
21.85226603252887,654,68,102,176
21.86405200867599,654,68,101,177
21.869997493037058,653,69,101,177
21.87931650349386,653,69,100,178
21.896516013458037,652,70,100,178
21.896955347031966,652,69,101,178
21.92140901119494,652,69,100,179
21.923642495579408,651,70,100,179
21.929653288656656,650,71,100,179
21.941534557707225,650,71,99,180
21.979245275723436,649,72,99,180
21.993269563307123,649,72,98,181
22.010868706785683,649,72,97,182
22.018609526373254,649,72,96,183
22.021845540061086,649,71,97,183
22.02185451284217,648,72,97,183
22.02378230948108,648,71,98,183
22.03079123425505,648,70,99,183
22.045158347978923,648,69,100,183
22.05695774197125,647,70,100,183
22.06898544322016,647,69,101,183
22.075414616677758,647,69,100,184
22.084738461297274,646,70,100,184
22.087296261939812,646,69,101,184
22.094244593441875,646,68,102,184
22.106401158110668,646,67,103,184
22.106949555545977,645,68,103,184
22.12559487173515,645,67,104,184
22.12738280688946,645,67,103,185
22.1339164667348,645,66,104,185
22.153483895744557,645,65,105,185
22.15447332495856,644,66,105,185
22.161402546751017,644,65,106,185
22.169528134428088,644,65,105,186
22.17239869354877,644,64,106,186
22.18046964423179,644,63,107,186
22.190972899304906,644,63,106,187
22.20252877068795,643,64,106,187
22.206932241446072,642,65,106,187
22.207530552032946,642,65,105,188
22.240622907433305,642,65,104,189
22.245036606920465,641,66,104,189
22.247159678311913,641,65,105,189
22.254770389551407,640,66,105,189
22.25607601571282,640,66,104,190
22.25936062733944,640,66,103,191
22.2698242768455,640,65,104,191
22.293214208185514,640,64,105,191
22.295055288353133,640,64,104,192
22.316425457582287,640,64,103,193
22.316674067333256,640,64,102,194
22.3339619068436,639,65,102,194
22.366834162176218,639,64,103,194
22.39105069907798,639,64,102,195
22.393072889181447,638,65,102,195
22.423839838392478,637,66,102,195
22.44221570764268,637,65,103,195
22.44279645584224,636,66,103,195
22.460914462081462,636,66,102,196
22.473843056057444,636,66,101,197
22.48421619707467,636,65,102,197
22.485709191713145,636,65,101,198
22.49238038606151,636,65,100,199
22.493335153374606,636,65,99,200
22.495467566866033,636,64,100,200
22.502928012243938,636,63,101,200
22.50579093299958,636,62,102,200
22.512437969447724,636,62,101,201
22.5274399235891,636,62,100,202
22.529040743316642,635,63,100,202
22.55176066781645,635,62,101,202
22.553496752173544,635,62,100,203
22.57283048287736,635,62,99,204
22.584027963392337,634,63,99,204
22.601190501008208,634,63,98,205
22.602583416297197,633,64,98,205
22.604451604429904,632,65,98,205
22.611092321080903,632,65,97,206
22.613746743599247,632,64,98,206
22.621617820174123,632,64,97,207
22.634888718517992,632,64,96,208
22.642029554796736,631,65,96,208
22.658827408868024,630,66,96,208
22.66841670979802,629,67,96,208
22.69280228646387,629,66,97,208
22.714952080874813,629,66,96,209
22.731356399082255,628,67,96,209
22.73987940042471,628,66,97,209
22.744673996619838,628,65,98,209
22.747138554975276,628,64,99,209
